Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.28     0.00       19     0.00     0.00  lp_parse
  0.00      3.28     0.00       19     0.00     0.00  safe_strncpy
  0.00      3.28     0.00       18     0.00     0.00  ENHsvg_put_text
  0.00      3.28     0.00       18     0.00     0.00  Ginteger
  0.00      3.28     0.00       18     0.00     0.00  SVG_put_text
  0.00      3.28     0.00       18     0.00     0.00  is_definition
  0.00      3.28     0.00       18     0.00     0.00  on_page
  0.00      3.28     0.00       18     0.00     0.00  reset_logscale
  0.00      3.28     0.00       18     0.00     0.00  unset_axislabel
  0.00      3.28     0.00       18     0.00     0.00  unset_minitics
  0.00      3.28     0.00       18     0.00     0.00  unset_range
  0.00      3.28     0.00       18     0.00     0.00  unset_tics
  0.00      3.28     0.00       18     0.00     0.00  unset_timedata
  0.00      3.28     0.00       18     0.00     0.00  unset_zeroaxis
  0.00      3.28     0.00       18     0.00     0.00  write_multiline
  0.00      3.28     0.00       16     0.00     0.00  check_for_iteration
  0.00      3.28     0.00       16     0.00     0.00  cleanup_iteration
  0.00      3.28     0.00       16     0.00     0.00  empty_iteration
  0.00      3.28     0.00       16     0.00     0.00  lookup_table
  0.00      3.28     0.00       16     0.00     0.00  next_iteration
  0.00      3.28     0.00       15     0.00     0.00  ENHest_put_text
  0.00      3.28     0.00       15     0.00     0.00  estimate_strlen
  0.00      3.28     0.00       15     0.00     0.00  fill_gpval_integer
  0.00      3.28     0.00       14     0.00     0.00  SVG_SetFont
  0.00      3.28     0.00       14     0.00     0.00  expand_1level_macros
  0.00      3.28     0.00       14     0.00     0.00  map_position_r
  0.00      3.28     0.00       14     0.00     0.00  scanner
  0.00      3.28     0.00       14     0.00     0.00  string_expand_macros
  0.00      3.28     0.00       14     0.00     0.00  update_gpval_variables
  0.00      3.28     0.00       13     0.00     0.00  SVG_set_font
  0.00      3.28     0.00       13     0.00     0.00  const_string_express
  0.00      3.28     0.00       13     0.00     0.00  try_to_get_string
  0.00      3.28     0.00       12     0.00     0.00  clip_point
  0.00      3.28     0.00       12     0.00     0.27  command
  0.00      3.28     0.00       12     0.00     0.00  edge_intersect
  0.00      3.28     0.00       12     0.00     0.00  enhanced_recursion
